date,ratio,region
2023-07-11,1.9057922769640478,고흥·녹동항
2023-07-12,2.171410341766533,고흥·녹동항
2023-07-13,3.0140368397691963,고흥·녹동항
2023-07-14,3.8115845539280957,고흥·녹동항
2023-07-15,6.072458943630714,고흥·녹동항
2023-07-16,1.5950954283177985,고흥·녹동항
2023-07-17,2.3489513981358185,고흥·녹동항
2023-07-18,2.3045661340434975,고흥·녹동항
2023-07-19,2.7921105193075895,고흥·녹동항
2023-07-20,2.6589547270306255,고흥·녹동항
2023-07-21,3.6784287616511313,고흥·녹동항
2023-07-22,7.225088770528183,고흥·녹동항
2023-07-23,2.5708777185974254,고흥·녹동항
2023-07-24,4.077896138482023,고흥·녹동항
2023-07-25,3.8115845539280957,고흥·녹동항
2023-07-26,4.210358411007546,고흥·녹동항
2023-07-27,4.742288060363959,고흥·녹동항
2023-07-28,8.68772192632046,고흥·녹동항
2023-07-29,33.64333666222814,고흥·녹동항
2023-07-30,6.604388592987127,고흥·녹동항
2023-07-31,5.673685086551264,고흥·녹동항
2023-08-01,5.008599644917887,고흥·녹동항
2023-08-02,5.407373501997336,고흥·녹동항
2023-08-03,4.875443852640923,고흥·녹동항
2023-08-04,8.953339991122947,고흥·녹동항
2023-08-05,28.36842543275632,고흥·녹동항
2023-08-06,5.451758766089658,고흥·녹동항
2023-08-07,4.5654405237461155,고흥·녹동항
2023-08-08,3.23526964047936,고흥·녹동항
2023-08-09,3.23526964047936,고흥·녹동항
2023-08-10,4.34351420328451,고흥·녹동항
2023-08-11,13.03123612960497,고흥·녹동항
2023-08-12,34.972814025743446,고흥·녹동항
2023-08-13,6.825621393697292,고흥·녹동항
2023-08-14,4.919829116733244,고흥·녹동항
2023-08-15,2.482107190412783,고흥·녹동항
2023-08-16,2.7921105193075895,고흥·녹동항
2023-08-17,3.058422103861518,고흥·녹동항
2023-08-18,5.052984909010208,고흥·녹동항
2023-08-19,19.060003328894805,고흥·녹동항
2023-08-20,10.682284731469153,고흥·녹동항
2023-08-21,2.5708777185974254,고흥·녹동항
2023-08-22,2.4377219263204615,고흥·녹동항
2023-08-23,3.412810696848646,고흥·녹동항
2023-08-24,3.5015812250332887,고흥·녹동항
2023-08-25,4.033510874389703,고흥·녹동항
2023-08-26,18.572458943630714,고흥·녹동항
2023-08-27,2.39333666222814,고흥·녹동항
2023-08-28,3.3240401686640033,고흥·녹동항
2023-08-29,1.8170217487794051,고흥·녹동항
2023-08-30,1.6838659565024412,고흥·녹동항
2023-08-31,3.19088437638704,고흥·녹동항
2023-09-01,3.634737017310253,고흥·녹동항
2023-09-02,9.352807367953838,고흥·녹동항
2023-09-03,1.8614070128717262,고흥·녹동항
2023-09-04,1.9945628051486906,고흥·녹동항
2023-09-05,1.7282512205947624,고흥·녹동항
2023-09-06,2.526492454505104,고흥·녹동항
2023-09-07,2.925266311584554,고흥·녹동항
2023-09-08,10.992288060363958,고흥·녹동항
2023-09-09,52.703339991122945,고흥·녹동항
2023-09-10,7.401936307146027,고흥·녹동항
2023-09-11,5.93930315135375,고흥·녹동항
2023-09-12,4.742288060363959,고흥·녹동항
2023-09-13,4.166666666666666,고흥·녹동항
2023-09-14,3.0140368397691963,고흥·녹동항
2023-09-15,4.609825787838438,고흥·녹동항
2023-09-16,6.870006657789614,고흥·녹동항
2023-09-17,3.0140368397691963,고흥·녹동항
2023-09-18,2.7921105193075895,고흥·녹동항
2023-09-19,2.39333666222814,고흥·녹동항
2023-09-20,2.5708777185974254,고흥·녹동항
2023-09-21,2.083333333333333,고흥·녹동항
2023-09-22,5.362988237905015,고흥·녹동항
2023-09-23,14.450177541056366,고흥·녹동항
2023-09-24,3.058422103861518,고흥·녹동항
2023-09-25,3.5459664891256106,고흥·녹동항
2023-09-26,2.969651575676875,고흥·녹동항
2023-09-27,5.584914558366623,고흥·녹동항
2023-09-28,8.288948069241012,고흥·녹동항
2023-09-29,12.011762094984464,고흥·녹동항
2023-09-30,54.166666666666664,고흥·녹동항
2023-10-01,19.547547714158895,고흥·녹동항
2023-10-02,5.008599644917887,고흥·녹동항
2023-10-03,2.6589547270306255,고흥·녹동항
2023-10-04,3.5015812250332887,고흥·녹동항
2023-10-05,4.033510874389703,고흥·녹동항
2023-10-06,6.471232800710164,고흥·녹동항
2023-10-07,13.918247891699956,고흥·녹동항
2023-10-08,4.432284731469151,고흥·녹동항
2023-10-09,2.260180869951176,고흥·녹동항
2023-10-10,2.171410341766533,고흥·녹동항
2023-10-11,3.9003550821127377,고흥·녹동항
2023-10-12,2.7477252552152684,고흥·녹동항
2023-10-13,4.609825787838438,고흥·녹동항
2023-10-14,15.380881047492231,고흥·녹동항
2023-10-15,2.969651575676875,고흥·녹동항
2023-10-16,2.482107190412783,고흥·녹동항
2023-10-17,2.969651575676875,고흥·녹동항
2023-10-18,2.8808810474922324,고흥·녹동항
2023-10-19,4.6542110519307585,고흥·녹동항
2023-10-20,4.8310585885486015,고흥·녹동항
2023-10-21,10.771055259653794,고흥·녹동항
2023-10-22,1.7282512205947624,고흥·녹동항
2023-10-23,1.5070184198845982,고흥·녹동항
2023-10-24,1.0194740346205058,고흥·녹동항
2023-10-25,1.8614070128717262,고흥·녹동항
2023-10-26,2.2157956058588546,고흥·녹동항
2023-10-27,3.989125610297381,고흥·녹동항
2023-10-28,11.834914558366622,고흥·녹동항
2023-10-29,3.279654904571682,고흥·녹동항
2023-10-30,3.19088437638704,고흥·녹동항
2023-10-31,2.8808810474922324,고흥·녹동항
2023-11-01,2.171410341766533,고흥·녹동항
2023-11-02,4.210358411007546,고흥·녹동항
2023-11-03,7.047547714158899,고흥·녹동항
2023-11-04,21.98526964047936,고흥·녹동항
2023-11-05,4.34351420328451,고흥·녹동항
2023-11-06,3.146499112294718,고흥·녹동항
2023-11-07,1.9945628051486906,고흥·녹동항
2023-11-08,2.083333333333333,고흥·녹동항
2023-11-09,1.5070184198845982,고흥·녹동항
2023-11-10,2.526492454505104,고흥·녹동항
2023-11-11,9.840351753217929,고흥·녹동항
2023-11-12,1.0631657789613846,고흥·녹동항
2023-11-13,1.0194740346205058,고흥·녹동항
2023-11-14,1.1075510430537063,고흥·녹동항
2023-11-15,0.6200066577896137,고흥·녹동항
2023-11-16,1.4182478916999555,고흥·녹동항
2023-11-17,2.4377219263204615,고흥·녹동항
2023-11-18,5.983688415446071,고흥·녹동항
2023-11-19,0.7531624500665779,고흥·녹동항
2023-11-20,0.7087771859742565,고흥·녹동항
2023-11-21,0.6643919218819352,고흥·녹동항
2023-11-22,2.260180869951176,고흥·녹동항
2023-11-23,2.3489513981358185,고흥·녹동항
2023-11-24,3.8559698180204167,고흥·녹동항
2023-11-25,18.218070350643583,고흥·녹동항
2023-11-26,1.462633155792277,고흥·녹동항
2023-11-27,2.39333666222814,고흥·녹동항
2023-11-28,0.8419329782512206,고흥·녹동항
2023-11-29,0.26561806480248557,고흥·녹동항
2023-11-30,0.5312361296049711,고흥·녹동항
2023-12-01,1.5070184198845982,고흥·녹동항
2023-12-02,3.6784287616511313,고흥·녹동항
2023-12-03,0.6200066577896137,고흥·녹동항
2023-12-04,0.6200066577896137,고흥·녹동항
2023-12-05,0.35438859298712827,고흥·녹동항
2023-12-06,0.0,고흥·녹동항
2023-12-07,0.31000332889480686,고흥·녹동항
2023-12-08,0.886318242343542,고흥·녹동항
2023-12-09,1.1963215712383488,고흥·녹동항
2023-12-10,0.443159121171771,고흥·녹동항
2023-12-11,0.2212328007101642,고흥·녹동항
2023-12-12,0.0,고흥·녹동항
2023-12-13,0.26561806480248557,고흥·녹동항
2023-12-14,0.0,고흥·녹동항
2023-12-15,0.0,고흥·녹동항
2023-12-16,0.0,고흥·녹동항
2023-12-17,0.0,고흥·녹동항
2023-12-18,0.0,고흥·녹동항
2023-12-19,0.0,고흥·녹동항
2023-12-20,0.0,고흥·녹동항
2023-12-21,0.0,고흥·녹동항
2023-12-22,0.0,고흥·녹동항
2023-12-23,1.0631657789613846,고흥·녹동항
2023-12-24,0.5756213936972925,고흥·녹동항
2023-12-25,0.26561806480248557,고흥·녹동항
2023-12-26,0.26561806480248557,고흥·녹동항
2023-12-27,0.0,고흥·녹동항
2023-12-28,0.0,고흥·녹동항
2023-12-29,0.6643919218819352,고흥·녹동항
2023-12-30,0.886318242343542,고흥·녹동항
2023-12-31,1.5070184198845982,고흥·녹동항
2024-01-01,1.2407068353306703,고흥·녹동항
2024-01-02,0.35438859298712827,고흥·녹동항
2024-01-03,0.2212328007101642,고흥·녹동항
2024-01-04,0.26561806480248557,고흥·녹동항
2024-01-05,0.26561806480248557,고흥·녹동항
2024-01-06,0.5756213936972925,고흥·녹동항
2024-01-07,0.0,고흥·녹동항
2024-01-08,0.0,고흥·녹동항
2024-01-09,0.35438859298712827,고흥·녹동항
2024-01-10,0.0,고흥·녹동항
2024-01-11,0.0,고흥·녹동항
2024-01-12,0.0,고흥·녹동항
2024-01-13,0.443159121171771,고흥·녹동항
2024-01-14,0.0,고흥·녹동항
2024-01-15,0.0,고흥·녹동항
2024-01-16,0.0,고흥·녹동항
2024-01-17,0.0,고흥·녹동항
2024-01-18,0.0,고흥·녹동항
2024-01-19,0.0,고흥·녹동항
2024-01-20,0.0,고흥·녹동항
2024-01-21,0.0,고흥·녹동항
2024-01-22,0.0,고흥·녹동항
2024-01-23,0.2212328007101642,고흥·녹동항
2024-01-24,0.443159121171771,고흥·녹동항
2024-01-25,0.0,고흥·녹동항
2024-01-26,0.2212328007101642,고흥·녹동항
2024-01-27,0.3987738570794496,고흥·녹동항
2024-01-28,0.2212328007101642,고흥·녹동항
2024-01-29,0.31000332889480686,고흥·녹동항
2024-01-30,0.0,고흥·녹동항
2024-01-31,0.2212328007101642,고흥·녹동항
2024-02-01,0.0,고흥·녹동항
2024-02-02,0.2212328007101642,고흥·녹동항
2024-02-03,0.31000332889480686,고흥·녹동항
2024-02-04,0.0,고흥·녹동항
2024-02-05,0.0,고흥·녹동항
2024-02-06,0.0,고흥·녹동항
2024-02-07,0.2212328007101642,고흥·녹동항
2024-02-08,0.2212328007101642,고흥·녹동항
2024-02-09,1.0194740346205058,고흥·녹동항
2024-02-10,2.3489513981358185,고흥·녹동항
2024-02-11,1.2850920994229915,고흥·녹동항
2024-02-12,0.4875443852640922,고흥·녹동항
2024-02-13,1.1519363071460276,고흥·녹동항
2024-02-14,0.6200066577896137,고흥·녹동항
2024-02-15,0.5312361296049711,고흥·녹동항
2024-02-16,0.7975477141588992,고흥·녹동항
2024-02-17,1.462633155792277,고흥·녹동항
2024-02-18,0.3987738570794496,고흥·녹동항
2024-02-19,1.0631657789613846,고흥·녹동항
2024-02-20,1.5950954283177985,고흥·녹동항
2024-02-21,0.7087771859742565,고흥·녹동항
2024-02-22,0.5756213936972925,고흥·녹동항
2024-02-23,0.5312361296049711,고흥·녹동항
2024-02-24,0.7531624500665779,고흥·녹동항
2024-02-25,0.6200066577896137,고흥·녹동항
2024-02-26,0.8419329782512206,고흥·녹동항
2024-02-27,0.26561806480248557,고흥·녹동항
2024-02-28,0.7531624500665779,고흥·녹동항
2024-02-29,0.7975477141588992,고흥·녹동항
2024-03-01,1.2407068353306703,고흥·녹동항
2024-03-02,0.9307035064358631,고흥·녹동항
2024-03-03,0.886318242343542,고흥·녹동항
2024-03-04,0.7087771859742565,고흥·녹동항
2024-03-05,0.35438859298712827,고흥·녹동항
2024-03-06,0.35438859298712827,고흥·녹동항
2024-03-07,0.4875443852640922,고흥·녹동항
2024-03-08,0.5312361296049711,고흥·녹동항
2024-03-09,1.0194740346205058,고흥·녹동항
2024-03-10,0.0,고흥·녹동항
2024-03-11,0.9750887705281844,고흥·녹동항
2024-03-12,0.35438859298712827,고흥·녹동항
2024-03-13,0.5312361296049711,고흥·녹동항
2024-03-14,1.772636484687084,고흥·녹동항
2024-03-15,1.0631657789613846,고흥·녹동항
2024-03-16,1.9057922769640478,고흥·녹동항
2024-03-17,0.5312361296049711,고흥·녹동항
2024-03-18,0.7975477141588992,고흥·녹동항
2024-03-19,0.5756213936972925,고흥·녹동항
2024-03-20,0.9750887705281844,고흥·녹동항
2024-03-21,0.5756213936972925,고흥·녹동항
2024-03-22,0.6643919218819352,고흥·녹동항
2024-03-23,0.9750887705281844,고흥·녹동항
2024-03-24,0.4875443852640922,고흥·녹동항
2024-03-25,0.5756213936972925,고흥·녹동항
2024-03-26,1.2850920994229915,고흥·녹동항
2024-03-27,1.8614070128717262,고흥·녹동항
2024-03-28,1.2407068353306703,고흥·녹동항
2024-03-29,1.3294773635153128,고흥·녹동항
2024-03-30,1.5070184198845982,고흥·녹동항
2024-03-31,1.462633155792277,고흥·녹동항
2024-04-01,1.0631657789613846,고흥·녹동항
2024-04-02,1.9057922769640478,고흥·녹동항
2024-04-03,2.127025077674212,고흥·녹동항
2024-04-04,1.772636484687084,고흥·녹동항
2024-04-05,2.969651575676875,고흥·녹동항
2024-04-06,5.761762094984465,고흥·녹동항
2024-04-07,2.6589547270306255,고흥·녹동항
2024-04-08,5.407373501997336,고흥·녹동항
2024-04-09,6.737544385264092,고흥·녹동항
2024-04-10,6.9143919218819345,고흥·녹동항
2024-04-11,11.125443852640924,고흥·녹동항
2024-04-12,18.39491788726143,고흥·녹동항
2024-04-13,68.88246227252552,고흥·녹동항
2024-04-14,19.28123612960497,고흥·녹동항
2024-04-15,52.5264924545051,고흥·녹동항
2024-04-16,20.389480692410118,고흥·녹동항
2024-04-17,25.664391921881936,고흥·녹동항
2024-04-18,25.97508877052818,고흥·녹동항
2024-04-19,24.33491455836662,고흥·녹동항
2024-04-20,28.36842543275632,고흥·녹동항
2024-04-21,12.94315912117177,고흥·녹동항
2024-04-22,13.164391921881935,고흥·녹동항
2024-04-23,13.164391921881935,고흥·녹동항
2024-04-24,13.607551043053705,고흥·녹동항
2024-04-25,16.622281402574345,고흥·녹동항
2024-04-26,22.11842543275632,고흥·녹동항
2024-04-27,67.10982578783845,고흥·녹동항
2024-04-28,16.5335108743897,고흥·녹동항
2024-04-29,15.026492454505103,고흥·녹동항
2024-04-30,14.272636484687084,고흥·녹동항
2024-05-01,15.070877718597425,고흥·녹동항
2024-05-02,14.228251220594762,고흥·녹동항
2024-05-03,26.95017754105637,고흥·녹동항
2024-05-04,100.0,고흥·녹동항
2024-05-05,10.63789946737683,고흥·녹동항
2024-05-06,7.225088770528183,고흥·녹동항
2024-05-07,7.712633155792277,고흥·녹동항
2024-05-08,4.919829116733244,고흥·녹동항
2024-05-09,7.933865956502441,고흥·녹동항
2024-05-10,10.682284731469153,고흥·녹동항
2024-05-11,14.095095428317798,고흥·녹동항
2024-05-12,5.362988237905015,고흥·녹동항
2024-05-13,5.052984909010208,고흥·녹동항
2024-05-14,5.407373501997336,고흥·녹동항
2024-05-15,5.318602973812694,고흥·녹동항
2024-05-16,6.958777185974256,고흥·녹동항
2024-05-17,11.30298490901021,고흥·녹동항
2024-05-18,39.84895139813582,고흥·녹동항
2024-05-19,5.894917887261429,고흥·녹동항
2024-05-20,7.668247891699956,고흥·녹동항
2024-05-21,5.584914558366623,고흥·녹동항
2024-05-22,6.870006657789614,고흥·녹동항
2024-05-23,6.293691744340878,고흥·녹동항
2024-05-24,10.372281402574345,고흥·녹동항
2024-05-25,35.77105525965379,고흥·녹동항
2024-05-26,4.8310585885486015,고흥·녹동항
2024-05-27,6.382462272525522,고흥·녹동항
2024-05-28,6.693159121171771,고흥·녹동항
2024-05-29,6.825621393697292,고흥·녹동항
2024-05-30,5.718070350643586,고흥·녹동항
2024-05-31,12.676847536617842,고흥·녹동항
2024-06-01,36.436140701287165,고흥·녹동항
2024-06-02,10.23912561029738,고흥·녹동항
2024-06-03,7.313165778961385,고흥·녹동항
2024-06-04,5.761762094984465,고흥·녹동항
2024-06-05,6.9143919218819345,고흥·녹동항
2024-06-06,8.732107190412782,고흥·녹동항
2024-06-07,8.820877718597425,고흥·녹동항
2024-06-08,10.726669995561473,고흥·녹동항
2024-06-09,3.19088437638704,고흥·녹동항
2024-06-10,4.077896138482023,고흥·녹동항
2024-06-11,3.058422103861518,고흥·녹동항
2024-06-12,3.634737017310253,고흥·녹동항
2024-06-13,6.9143919218819345,고흥·녹동항
2024-06-14,7.401936307146027,고흥·녹동항
2024-06-15,26.196321571238347,고흥·녹동항
2024-06-16,4.387899467376831,고흥·녹동항
2024-06-17,4.1222814025743455,고흥·녹동항
2024-06-18,2.5708777185974254,고흥·녹동항
2024-06-19,2.7477252552152684,고흥·녹동항
2024-06-20,3.9003550821127377,고흥·녹동항
2024-06-21,4.34351420328451,고흥·녹동항
2024-06-22,4.299128939192188,고흥·녹동항
2024-06-23,3.0140368397691963,고흥·녹동항
2024-06-24,22.7835108743897,고흥·녹동항
2024-06-25,5.141755437194851,고흥·녹동항
2024-06-26,2.969651575676875,고흥·녹동항
