date,고흥·녹동항,당진·삽교호,부산·광안리
2024-03-17,0.00766,0.0,0.73566
2024-03-18,0.0115,0.0,0.58673
2024-03-19,0.0083,0.0,0.45187
2024-03-20,0.01406,0.0,0.44932
2024-03-21,0.0083,0.0,0.4474
2024-03-22,0.00958,0.0,0.77145
2024-03-23,0.01406,0.0,4.07585
2024-03-24,0.00703,0.0,0.63851
2024-03-25,0.0083,0.0,0.55733
2024-03-26,0.01853,0.0,0.51323
2024-03-27,0.02684,0.0,0.51259
2024-03-28,0.01789,0.0,0.54135
2024-03-29,0.01917,0.0,0.83536
2024-03-30,0.02173,0.0,4.03558
2024-03-31,0.02109,0.0,0.71392
2024-04-01,0.01533,0.0,0.5356
2024-04-02,0.02748,0.0,0.48575
2024-04-03,0.03067,0.0,0.49917
2024-04-04,0.02556,0.0,0.58226
2024-04-05,0.04282,0.0,0.90759
2024-04-06,0.08308,0.0,3.77481
2024-04-07,0.03834,0.0,0.77337
2024-04-08,0.07797,0.0,0.53049
2024-04-09,0.09715,0.0,0.52857
2024-04-10,0.0997,0.0,0.57459
2024-04-11,0.16042,0.0,0.62572
2024-04-12,0.26524,0.0,0.95169
2024-04-13,0.99323,0.0,3.99212
2024-04-14,0.27802,0.0,0.71201
2024-04-15,0.75739,0.0,0.54327
2024-04-16,0.294,0.0,0.57459
2024-04-17,0.37006,0.0,0.57651
2024-04-18,0.37454,0.0,0.6123
2024-04-19,0.35089,0.0,0.84112
2024-04-20,0.40905,0.0,1.18114
2024-04-21,0.18663,0.0,0.63659
2024-04-22,0.18982,0.0,0.60335
2024-04-23,0.18982,0.0,0.58929
2024-04-24,0.19621,0.0,0.60591
2024-04-25,0.23968,0.0,0.72607
2024-04-26,0.31893,0.0,1.02711
2024-04-27,0.96767,0.0,4.29444
2024-04-28,0.2384,0.0,0.91653
2024-04-29,0.21667,0.00639,0.751
2024-04-30,0.2058,0.02748,0.73438
2024-05-01,0.21731,0.0083,0.71073
2024-05-02,0.20516,0.01725,0.85773
2024-05-03,0.3886,0.02109,1.32943
2024-05-04,1.44192,0.0115,5.72805
2024-05-05,0.15339,0.03323,0.77273
2024-05-06,0.10418,0.07158,0.69859
2024-05-07,0.11121,0.11696,0.61613
2024-05-08,0.07094,0.14956,0.55542
2024-05-09,0.1144,0.1796,0.74013
2024-05-10,0.15403,0.23648,1.40548
2024-05-11,0.20324,0.20964,3.61374
2024-05-12,0.07733,0.27994,0.9159
2024-05-13,0.07286,0.87819,0.60719
2024-05-14,0.07797,3.44757,0.68325
2024-05-15,0.07669,0.5241,0.65384
2024-05-16,0.10034,0.26077,0.69922
2024-05-17,0.16298,0.12271,0.99068
2024-05-18,0.57459,0.12079,4.51239
2024-05-19,0.085,0.05241,0.98556
2024-05-20,0.11057,0.03898,0.75227
2024-05-21,0.08053,0.03515,0.67302
2024-05-22,0.09906,0.023,0.67621
2024-05-23,0.09075,0.02684,0.75163
2024-05-24,0.14956,0.02492,1.18498
2024-05-25,0.51579,0.03451,5.25252
2024-05-26,0.06966,0.01086,0.83345
2024-05-27,0.09203,0.00511,0.76697
2024-05-28,0.09651,0.00703,0.70178
2024-05-29,0.09842,0.01214,0.64745
2024-05-30,0.08245,0.01533,0.74141
2024-05-31,0.18279,0.01406,1.09422
2024-06-01,0.52538,0.01981,4.33854
2024-06-02,0.14764,0.01022,0.96064
2024-06-03,0.10545,0.00447,0.82258
2024-06-04,0.08308,0.00383,0.70689
2024-06-05,0.0997,0.00511,0.84879
2024-06-06,0.12591,0.01278,1.31217
2024-06-07,0.12719,0.01533,1.43041
2024-06-08,0.15467,0.02237,1.78642
2024-06-09,0.04601,0.02812,0.62253
2024-06-10,0.0588,0.02045,1.20287
2024-06-11,0.0441,0.00383,0.65321
2024-06-12,0.05241,0.00703,0.67494
2024-06-13,0.0997,0.13166,0.69986
2024-06-14,0.10673,0.02109,1.13065
2024-06-15,0.37773,0.01917,4.25992
2024-06-16,0.06327,0.00511,0.98812
2024-06-17,0.05944,0.00894,0.73566
2024-06-18,0.03707,0.0,0.59888
2024-06-19,0.03962,0.0,0.58865
2024-06-20,0.05624,0.0,0.62572
2024-06-21,0.06263,0.00383,0.91526
2024-06-22,0.06199,0.00511,1.25081
2024-06-23,0.04346,0.03643,0.67174
2024-06-24,0.32852,0.00766,0.51898
2024-06-25,0.07414,0.00575,0.46913
2024-06-26,0.04282,0.0,0.47744
2024-06-27,0.05624,0.01278,0.51259
2024-06-28,0.06327,0.0,0.83984
2024-06-29,0.07414,0.0,0.79062
2024-06-30,0.16873,0.00383,0.45379
2024-07-01,0.05113,0.00319,0.44676
2024-07-02,0.14189,0.0,0.41864
2024-07-03,0.05752,0.00383,0.55733
2024-07-04,0.06711,0.0,0.63339
2024-07-05,0.12399,0.0,1.16005
2024-07-06,0.4768,0.00319,5.97476
2024-07-07,0.07094,0.00319,1.11211
2024-07-08,0.05816,0.0,0.66855
2024-07-09,0.03898,0.0,0.57076
2024-07-10,0.04921,0.0,0.62253
2024-07-11,0.06902,0.0,0.83536
2024-07-12,0.10098,0.00447,1.1805
2024-07-13,0.33938,0.00383,4.14488
2024-07-14,0.04601,0.00639,0.63403
2024-07-15,0.08053,0.00575,0.70242
2024-07-16,0.06263,0.0,0.66535
2024-07-17,0.06519,0.0,0.71009
2024-07-18,0.07605,0.00319,0.72863
2024-07-19,0.1029,0.00319,1.17923
2024-07-20,0.39818,0.0,5.62579
2024-07-21,0.06838,0.00703,1.19776
2024-07-22,0.05752,0.00383,0.90631
2024-07-23,0.07605,0.00319,0.91909
2024-07-24,0.09012,0.00383,0.8948
2024-07-25,0.08628,0.00383,0.97342
2024-07-26,0.11696,0.0,1.5167
2024-07-27,0.49278,0.00894,5.53567
2024-07-28,0.08884,0.00511,1.57038
2024-07-29,0.09395,0.00511,1.06034
2024-07-30,0.07478,0.00319,1.09933
2024-07-31,0.10098,0.00958,1.07377
2024-08-01,0.11312,0.01342,1.31089
2024-08-02,0.17193,0.0115,1.68991
2024-08-03,0.52218,0.02556,4.21007
2024-08-04,0.0703,0.0115,1.06226
2024-08-05,0.05688,0.00766,0.83217
2024-08-06,0.0588,0.00639,0.79446
2024-08-07,0.05432,0.00639,0.85518
2024-08-08,0.0735,0.01022,1.00154
2024-08-09,0.11888,0.00383,1.44383
2024-08-10,0.44293,0.01406,5.16879
2024-08-11,0.06902,0.01214,1.37353
2024-08-12,0.05177,0.00958,1.045
2024-08-13,0.09139,0.00703,0.92612
2024-08-14,0.13038,0.00639,0.99515
2024-08-15,0.10226,0.01214,1.33518
2024-08-16,0.17704,0.01853,1.62599
2024-08-17,0.61422,0.02364,6.25215
2024-08-18,0.09267,0.03834,1.0629
2024-08-19,0.07286,0.05496,0.69922
2024-08-20,0.04985,0.0441,0.65448
2024-08-21,0.04793,0.02748,0.66215
2024-08-22,0.11249,0.04601,0.72926
2024-08-23,0.13549,0.05624,1.1805
2024-08-24,0.42759,0.13997,4.73737
2024-08-25,0.06774,0.09075,1.0335
2024-08-26,0.06327,0.10801,0.64745
2024-08-27,0.05496,0.12207,0.61997
2024-08-28,0.06327,0.13422,0.64873
2024-08-29,0.07478,0.12271,0.75867
2024-08-30,0.17065,0.34386,1.08847
2024-08-31,0.36623,1.59723,4.6057
2024-09-01,0.05496,0.32852,0.90759
2024-09-02,0.09715,0.19877,0.73502
2024-09-03,0.05368,0.14125,0.64106
2024-09-04,0.05241,0.11696,0.65001
2024-09-05,0.04537,0.11312,0.63914
2024-09-06,0.09395,0.1879,0.98556
2024-09-07,0.27611,1.00985,3.91414
2024-09-08,0.06647,0.24095,0.84431
2024-09-09,0.07158,0.13613,0.65129
2024-09-10,0.07989,0.1029,0.60271
2024-09-11,0.11824,0.10418,0.61294
2024-09-12,0.10609,0.11504,0.74972
2024-09-13,0.21219,0.17065,1.29044
2024-09-14,0.75163,0.79701,6.90408
2024-09-15,0.94338,0.20324,2.03377
2024-09-16,0.83217,0.147,1.46492
2024-09-17,0.67366,0.16873,1.41124
2024-09-18,0.14892,0.19877,0.84048
2024-09-19,0.13422,0.2352,0.82386
2024-09-20,0.10865,0.29976,0.77017
2024-09-21,0.09395,0.67941,0.7005
2024-09-22,0.07861,0.24351,0.63914
2024-09-23,0.07733,0.18918,0.60527
2024-09-24,0.07094,0.17257,0.63914
2024-09-25,0.05304,0.17384,0.62189
2024-09-26,0.05944,0.21155,0.72671
2024-09-27,0.1144,0.36751,1.15749
2024-09-28,0.43142,1.82413,4.22605
2024-09-29,0.05752,0.36623,0.66855
2024-09-30,0.06902,0.27675,0.68261
2024-10-01,0.07797,0.21667,0.70306
2024-10-02,0.06647,0.26269,0.68836
2024-10-03,0.08117,0.25565,0.50812
2024-10-04,0.13422,0.43845,1.03861
2024-10-05,0.40138,1.60618,5.15409
2024-10-06,0.05496,0.24735,0.77081
2024-10-07,0.04474,0.2352,0.63723
2024-10-08,0.0441,0.21986,0.59249
2024-10-09,0.05241,0.26396,0.68325
2024-10-10,0.07669,0.24287,0.74333
2024-10-11,0.11632,0.45507,1.10381
2024-10-12,0.34066,2.71957,4.78914
2024-10-13,0.04985,0.43206,0.85454
2024-10-14,0.04346,0.24798,0.60271
2024-10-15,0.04154,0.18087,0.53688
2024-10-16,0.0409,0.19749,0.55861
2024-10-17,0.05624,0.20133,0.60783
2024-10-18,0.05816,0.30167,0.77592
2024-10-19,0.22306,1.92511,2.19803
2024-10-20,0.04218,0.209,0.65704
2024-10-21,0.03707,0.15403,0.51898
2024-10-22,0.04218,0.14189,0.66855
2024-10-23,0.04154,0.12143,0.60207
2024-10-24,0.04474,0.14061,0.59057
2024-10-25,0.07797,0.25885,1.02072
2024-10-26,0.28058,1.63558,4.85433
2024-10-27,0.0409,0.20708,0.69411
2024-10-28,0.03131,0.17832,0.57906
2024-10-29,0.05049,0.16809,0.49342
2024-10-30,0.04601,0.16234,0.48383
2024-10-31,0.05944,0.17065,0.55733
2024-11-01,0.07414,0.2646,0.68325
2024-11-02,0.25438,1.76532,3.28267
2024-11-03,0.06583,0.21858,0.57715
2024-11-04,0.06838,0.14253,0.44612
2024-11-05,0.06263,0.11632,0.37773
2024-11-06,0.04218,0.11696,0.41097
2024-11-07,0.05113,0.12974,0.36048
2024-11-08,0.12016,0.23073,0.4474
2024-11-09,0.27483,1.36714,1.17411
2024-11-10,0.04537,0.24543,0.5388
2024-11-11,0.03387,0.15914,0.46402
2024-11-12,0.0409,0.14764,0.39371
2024-11-13,0.03259,0.14316,0.41608
2024-11-14,0.04218,0.17384,0.51643
2024-11-15,0.06774,0.29528,0.75419
2024-11-16,0.24351,1.46109,4.12123
2024-11-17,0.02684,0.14061,0.58546
2024-11-18,0.02748,0.10482,0.47616
2024-11-19,0.01278,0.07605,0.43206
2024-11-20,0.03451,0.10418,0.43589
2024-11-21,0.03962,0.11632,0.58737
2024-11-22,0.06519,0.18215,0.77848
2024-11-23,0.21283,0.91973,3.71026
2024-11-24,0.03131,0.28506,0.64042
2024-11-25,0.023,0.13422,0.48447
2024-11-26,0.03067,0.07669,0.45699
